OBJECTID,LANDUSECODE,LANDUSEDESC,BASEELEV,HEIGHT,Revision,Priordraft,Area,Perimeter,ACREAGE,GlobalID,LASTUPDATE,LASTEDITOR,SHAPE_Length,SHAPE_Area
1889,SF-LOW,,,, , ,0,1073.23908873,1.65,{1CD49D5A-8130-4ED9-B029-9F0101ED08BE},2020/02/07 21:12:12+00,Payne.Ringling,1073.23899488236,71987.6160382241
1890,SF-LOW,,,, , ,0,1073.20745721,1.65,{BFD6D30B-3EF7-4BDE-A95C-E320FF4C91A6},2020/02/07 21:12:12+00,Payne.Ringling,1073.20711528922,71984.112289355
1891,SF-LOW,,,, , ,0,1726.01260559,3.68,{0DEC1531-4935-49B8-ADBE-1DFDCDDABC1E},2020/02/07 21:12:12+00,Payne.Ringling,1726.01238853117,160084.227581813
1892,MF-MOD,,,, , ,0,6206.0862656,43.34,{8CA61BF4-5644-4BA5-8B74-8BFC3464274E},2020/02/07 21:12:12+00,Payne.Ringling,6206.08727373348,1887842.45834567
1893,SF-VL,,,, , ,0,721.46658594,0.5,{035DF12A-8E70-4DAA-B732-6AB0DEE99E87},2020/02/07 21:12:12+00,Payne.Ringling,721.466343246815,21853.7772064906
1894,SF-VL,,,, , ,0,361.77861235,0.13,{B9222D75-BDA7-40BC-AC9B-DA7AEEA6A1E5},2020/02/07 21:12:12+00,Payne.Ringling,361.778847846405,5603.62968832819
1895,SF-VL,,,, , ,0,3001.16890551,7.96,{15E70330-B282-449F-A77D-CFE2E71B7BA7},2020/02/07 21:12:12+00,Payne.Ringling,3001.1691375058,346582.984133094
1896,SF-VL,,,, , ,0,2495.24323411,4.45,{955F9D65-03B7-4375-B459-F28EC3609B72},2020/02/07 21:12:12+00,Payne.Ringling,2495.24336115836,193753.701526772
1897,CC,,,, , ,0,3476.63176043,14.35,{E7D09B29-4DF3-4982-B1BA-8BAF39C3E3B5},2020/02/07 21:12:12+00,Payne.Ringling,3476.6317498922,625121.99118697
1898,MF-MOD,,,, , ,0,4244.33161414,13.11,{2BA044CF-85A7-452E-B8F8-6387A17837EB},2020/02/07 21:12:12+00,Payne.Ringling,4244.33117773719,570965.394164702
1899,MF-MOD,,,,Yes, ,0,3167.51182484,10.57,{CFBB78B2-A449-4859-B058-83D3299B5C94},2020/02/07 21:12:12+00,Payne.Ringling,3167.5117263003,460539.967779223
1900,MF-MOD,,,, , ,0,3143.80694506,7.65,{23D14B0E-0478-4B5A-8EEE-E88DE8232281},2020/02/07 21:12:12+00,Payne.Ringling,3143.80657618017,333190.7027974
1901,MF-MOD,,,, , ,0,2479.5441123,5.97,{9EB3ABCD-F2CC-4F0D-96F7-1F0C5E1B5442},2020/02/07 21:12:12+00,Payne.Ringling,2479.54409119869,260125.888907786
1902,MF-MOD,,,, , ,0,1688.02973661,2.18,{BA77388F-D31A-45E3-AF89-EBB46FEFC359},2020/02/07 21:12:12+00,Payne.Ringling,1688.02940003528,94827.5258514399
1903,OPEN,,,, , ,0,1248.80666571,0.71,{5E1CC481-13EB-4E74-8A59-943C62D5C782},2020/02/07 21:12:12+00,Payne.Ringling,1248.80655663531,30833.631974367
1904,CC,,,, , ,0,715.16373617,0.57,{AB299A28-4FAA-4DEB-9484-9C563DDA3793},2020/02/07 21:12:12+00,Payne.Ringling,715.164246913436,24980.5274872381
1905,SF-LOW,,,, , ,0,1778.1034972,2.98,{293441F2-90AE-404C-A3A2-D8967D1E879A},2020/02/07 21:12:12+00,Payne.Ringling,1778.10384223609,129660.366804148
1906,SF-LOW,,,, , ,0,1757.33879299,3.32,{29FC7E23-DBDA-4483-ACA1-9EF8BBC3EE56},2020/02/07 21:12:12+00,Payne.Ringling,1757.33880830354,144550.1602435
1907,SF-LOW,,,, , ,0,1949.5470759,4.02,{D88C3BD8-AF79-405E-8A76-5D6EF246135F},2020/02/07 21:12:12+00,Payne.Ringling,1949.54699876041,175049.068154581
1908,SF-VL,,,, , ,0,3799.55051221,7.75,{7093BFA7-AF9B-4924-82E8-285CFD7C5AA6},2020/02/07 21:12:12+00,Payne.Ringling,3799.55035403782,337388.725449742
1909,CC,,,, , ,0,1590.23274816,2.8,{6B993D8B-AFC3-4FB9-9626-F58C17EB4251},2020/02/07 21:12:12+00,Payne.Ringling,1590.23261490945,122137.011323463
1910,SF-VL,,,, , ,0,11904.355694,31.53,{BF9D83B1-BFEC-4DCD-842B-402704B4B392},2020/02/07 21:12:12+00,Payne.Ringling,12011.6629392177,1373214.20014828
1911,SF-VL,,,, , ,0,2372.37681766,6.07,{ABC16190-B26C-48E1-B319-D19CAD533200},2020/02/07 21:12:12+00,Payne.Ringling,2372.3771590934,264588.20061048
1912,SF-LOW,,,, , ,0,1661.67592608,3.28,{7DAAD9BE-FDCF-4435-AAFD-C178CC9A83D1},2020/02/07 21:12:12+00,Payne.Ringling,1661.67570912061,142946.93486984
1913,SF-LOW,,,, , ,0,1647.87779691,3.22,{267F2B10-F9B1-4D55-8EA8-ED1CFE698506},2020/02/07 21:12:12+00,Payne.Ringling,1647.87760612725,140279.482921144
1914,SF-LOW,,,, , ,0,1435.52705698,2.52,{BBC2D34B-70DC-4351-8466-6D56EE53501A},2020/02/07 21:12:12+00,Payne.Ringling,1435.52680105166,109978.105372881
1915,SF-LOW,,,, , ,0,1442.89488248,2.45,{350CB687-E2CB-4C4A-8D48-7301B130F954},2020/02/07 21:12:12+00,Payne.Ringling,1442.89452624907,106580.625159959
1916,SF-VL,,,, , ,0,2116.58523696,4.93,{2F07D354-6364-46EE-9556-B911F3E71419},2020/02/07 21:12:12+00,Payne.Ringling,2116.58521086757,214774.97185332
1917,MF-MOD,,,, , ,0,943.13667058,1.26,{93A087D0-22A3-489D-B8E5-D069CDCC67A0},2020/02/07 21:12:12+00,Payne.Ringling,943.136905348496,54964.5723461022
1918,SF-LOW,,,, , ,0,1442.32492194,1.69,{04FE9ED8-BBB6-4909-8B94-8F3F0A00FE1C},2020/02/07 21:12:12+00,Payne.Ringling,1442.32490407132,73648.8295929351
1919,SF-LOW,,,, , ,0,1438.44409749,1.79,{F50FBDDD-6C31-46AF-9BF6-B746B0861646},2020/02/07 21:12:12+00,Payne.Ringling,1438.44348869364,77917.6973631687
1920,SF-LOW,,,, , ,0,1854.36735862,2.44,{15D63346-5AA0-4C0E-93E5-3F2CECC731E1},2020/02/07 21:12:12+00,Payne.Ringling,1854.36680931889,106495.149469965
1921,CC,,,, , ,0,870.01947584,0.93,{DFBD6ACB-392C-46AF-954E-350BA35BB3F9},2020/02/07 21:12:12+00,Payne.Ringling,870.018729352517,40513.2089641182
1922,SF-LOW,,,, , ,0,1434.57970399,1.69,{4500A217-3F13-4112-A57C-CC89C9A10D4E},2020/02/07 21:12:12+00,Payne.Ringling,1434.57982557168,73602.0940900328
1923,SF-LOW,,,, , ,0,1437.64007406,1.79,{C1D369CA-CBDA-404D-8056-D4C314945E8B},2020/02/07 21:12:12+00,Payne.Ringling,1437.64032910822,77809.0290950081
1924,SF-LOW,,,, , ,0,2547.55775432,3.62,{E304C555-70E2-4EAB-9280-A7203C8CD6D2},2020/02/07 21:12:12+00,Payne.Ringling,2857.3916210141,157888.431185537
1925,MF-MOD,,,, , ,0,800.19448151,0.73,{21950B6B-9096-4287-8A6E-9A7C9255E39A},2020/02/07 21:12:12+00,Payne.Ringling,800.194317560854,31639.401191043
1926,MF-MOD,,,, , ,0,668.77738302,0.56,{2FD0DA0C-D520-4CB0-B884-3331F69FED08},2020/02/07 21:12:12+00,Payne.Ringling,668.777460533326,24444.7501776127
1927,MF-MOD,,,, , ,0,1912.67870347,4.79,{F57269F0-7C1B-4C49-8AE7-CE7097A4D376},2020/02/07 21:12:12+00,Payne.Ringling,1912.67872829485,208522.065090234
1928,SF-VL,,,, , ,0,966.27356638,1.11,{D12196D1-0DE9-4545-97B2-14C0B090EFDC},2020/02/07 21:12:12+00,Payne.Ringling,966.273402260775,48214.0019922276
1929,OPEN,,,, , ,0,4851.21086006,21.36,{A30896D9-F448-4EC6-BEE2-2E6C3ACF894A},2020/02/07 21:12:12+00,Payne.Ringling,4851.21086184394,930491.599514857
1930,SF-VL,,,, , ,0,704.87028325,0.68,{64DA079C-024A-4B84-BAAC-BA592BBAFAE0},2020/02/07 21:12:12+00,Payne.Ringling,704.869989164558,29596.3440617385
1931,SF-VL,,,, , ,0,2156.80750293,6.9,{A33509BA-C14E-492B-B869-76CEB262DDA5},2020/02/07 21:12:12+00,Payne.Ringling,2156.80741805798,300535.601701486
1932,SF-VL,,,, , ,0,1361.50923424,1.76,{F8831626-3E54-47FF-AB6D-C0390FF6BF17},2020/02/07 21:12:12+00,Payne.Ringling,1585.76398345469,92634.6822203588
1933,SF-LOW,,,, , ,0,3051.40361332,7.58,{8B6A9088-3ECB-4EC9-9263-2C512BC32001},2020/02/07 21:12:12+00,Payne.Ringling,3051.40349923042,330130.237111786
1934,SF-LOW,,,, , ,0,2693.61995919,4.93,{FE13F4FD-E6BF-4E34-8E32-A2E517872939},2020/02/07 21:12:12+00,Payne.Ringling,2693.61896047412,214582.100562118
1935,SF-LOW,,,, , ,0,1419.14891216,1.77,{49FFAF0D-ADFB-4F58-A0D1-DE9DE68B0E47},2020/02/07 21:12:12+00,Payne.Ringling,1419.14836923121,77125.2407564675
1936,SF-LOW,,,, , ,0,1417.42991923,1.77,{9F2A6A45-0685-4F89-B201-BB02A052F64D},2020/02/07 21:12:12+00,Payne.Ringling,1417.4292973727,77019.4648610442
1937,CC,,,, , ,0,3418.97454111,8.3,{8D59F060-35DA-4ECE-ADAC-4AE4FAE8513F},2020/02/07 21:12:12+00,Payne.Ringling,3418.9739123899,361721.061593084
1938,SF-VL,,,, , ,0,1396.02155627,2.63,{A0D9A155-C522-4D47-A140-3D2C64D77E37},2020/02/07 21:12:12+00,Payne.Ringling,1396.02180986811,114665.396796366
1939,SF-VL,,,, , ,0,1186.32820098,1.17,{AB95B748-9B83-4863-BD7A-A027F15820C5},2020/02/07 21:12:12+00,Payne.Ringling,1186.32857906621,51118.3158160312
